#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  84000      7.85e+00    9.40e+00      2.99e-02    4.07e-02      2.67e-01    3.01e-01    6.3e-04
  85000      4.29e+00    6.36e+00      1.42e-02    8.63e-03      1.28e-01    2.48e-01    6.3e-04
  86000      7.02e+00    6.77e+00      1.61e-02    7.36e-03      2.65e-01    2.66e-01    6.3e-04
  87000      8.17e+00    5.60e+00      2.81e-02    2.13e-02      2.87e-01    1.45e-01    6.3e-04
  88000      6.69e+00    6.77e+00      8.30e-03    1.08e-02      2.62e-01    2.62e-01    6.3e-04
  89000      7.98e+00    6.08e+00      1.45e-02    1.45e-02      3.07e-01    2.28e-01    6.3e-04
  90000      4.89e+00    6.75e+00      3.82e-03    1.32e-02      1.92e-01    2.58e-01    6.3e-04
  91000      2.97e+00    6.78e+00      5.56e-03    1.23e-02      1.09e-01    2.61e-01    6.3e-04
  92000      7.74e+00    4.22e+00      3.23e-02    1.05e-02      2.53e-01    1.46e-01    6.3e-04
  93000      4.28e+00    6.29e+00      5.33e-03    7.18e-03      1.64e-01    2.47e-01    6.3e-04
  94000      6.95e+00    6.29e+00      2.04e-03    1.34e-02      2.76e-01    2.39e-01    6.3e-04
  95000      9.80e+00    4.96e+00      5.67e-02    1.28e-03      2.40e-01    1.96e-01    6.3e-04
  96000      6.42e+00    7.22e+00      1.12e-03    1.17e-02      2.55e-01    2.80e-01    6.3e-04
  97000      3.06e+00    4.78e+00      8.11e-04    2.75e-03      1.21e-01    1.89e-01    6.3e-04
  98000      4.98e+00    6.56e+00      1.49e-02    1.53e-03      1.58e-01    2.60e-01    6.3e-04
  99000      5.03e+00    6.23e+00      1.41e-02    3.78e-03      1.65e-01    2.47e-01    6.3e-04
 100000      3.97e+00    5.36e+00      8.23e-03    6.77e-03      1.49e-01    2.21e-01    5.6e-04
 101000      3.90e+00    3.33e+00      5.49e-04    8.74e-03      1.64e-01    1.15e-01    5.6e-04
 102000      3.83e+00    4.54e+00      1.19e-02    8.66e-03      1.18e-01    1.74e-01    5.6e-04
 103000      5.54e+00    6.63e+00      1.22e-02    1.89e-02      2.05e-01    2.53e-01    5.6e-04
