#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  80000      6.03e+00    6.99e+00      3.34e-03    1.63e-02      2.39e-01    2.63e-01    6.3e-04
  81000      6.35e+00    7.12e+00      3.82e-03    2.70e-02      2.51e-01    2.42e-01    6.3e-04
  82000      8.80e+00    6.41e+00      4.12e-02    3.65e-03      2.69e-01    2.54e-01    6.3e-04
  83000      9.58e+00    8.13e+00      5.07e-02    3.33e-02      2.64e-01    2.68e-01    6.3e-04
  84000      7.67e+00    7.82e+00      2.74e-02    2.26e-02      2.66e-01    2.85e-01    6.3e-04
  85000      8.24e+00    6.43e+00      3.97e-02    1.85e-02      2.47e-01    2.35e-01    6.3e-04
  86000      9.50e+00    6.33e+00      4.20e-02    7.57e-03      3.01e-01    2.48e-01    6.3e-04
  87000      6.52e+00    6.61e+00      3.78e-03    2.50e-02      2.58e-01    2.25e-01    6.3e-04
  88000      5.78e+00    6.47e+00      4.10e-03    1.20e-02      2.28e-01    2.48e-01    6.3e-04
  89000      1.30e+01    7.36e+00      7.56e-02    1.01e-02      3.17e-01    2.87e-01    6.3e-04
  90000      6.23e+00    7.22e+00      1.47e-02    1.76e-02      2.34e-01    2.70e-01    6.3e-04
  91000      7.24e+00    6.38e+00      1.11e-02    5.35e-03      2.81e-01    2.52e-01    6.3e-04
  92000      6.45e+00    6.69e+00      2.73e-03    6.55e-03      2.56e-01    2.63e-01    6.3e-04
  93000      6.03e+00    7.37e+00      6.25e-04    1.46e-02      2.39e-01    2.82e-01    6.3e-04
  94000      5.95e+00    6.29e+00      1.78e-02    6.23e-03      2.16e-01    2.47e-01    6.3e-04
  95000      8.10e+00    7.60e+00      3.25e-02    7.95e-03      2.69e-01    2.99e-01    6.3e-04
  96000      5.78e+00    7.30e+00      6.71e-03    3.01e-02      2.27e-01    2.40e-01    6.3e-04
  97000      6.11e+00    7.96e+00      4.67e-03    3.65e-02      2.41e-01    2.47e-01    6.3e-04
  98000      8.45e+00    6.69e+00      4.02e-02    7.14e-03      2.56e-01    2.63e-01    6.3e-04
  99000      7.40e+00    6.80e+00      2.08e-03    2.70e-03      2.93e-01    2.69e-01    6.3e-04
 100000      5.99e+00    6.47e+00      1.22e-03    1.99e-02      2.52e-01    2.42e-01    5.6e-04
 101000      6.76e+00    6.07e+00      1.38e-02    1.41e-02      2.71e-01    2.39e-01    5.6e-04
 102000      7.93e+00    6.68e+00      2.17e-02    2.01e-03      3.04e-01    2.80e-01    5.6e-04
 103000      7.35e+00    7.18e+00      2.24e-02    2.40e-02      2.75e-01    2.62e-01    5.6e-04
 104000      6.03e+00    9.22e+00      3.30e-03    4.41e-02      2.52e-01    2.74e-01    5.6e-04
 105000      7.25e+00    7.25e+00      2.00e-02    3.08e-03      2.78e-01    3.04e-01    5.6e-04
 106000      6.44e+00    6.44e+00      6.84e-03    1.47e-02      2.67e-01    2.54e-01    5.6e-04
 107000      6.18e+00    5.67e+00      9.32e-03    1.26e-02      2.53e-01    2.25e-01    5.6e-04
 108000      6.56e+00    7.19e+00      2.32e-02    2.30e-02      2.35e-01    2.66e-01    5.6e-04
 109000      5.98e+00    6.67e+00      1.54e-02    1.66e-02      2.32e-01    2.60e-01    5.6e-04
 110000      6.52e+00    9.60e+00      2.04e-02    3.56e-02      2.43e-01    3.37e-01    5.6e-04
 111000      7.18e+00    6.59e+00      2.30e-02    8.12e-03      2.66e-01    2.72e-01    5.6e-04
 112000      6.65e+00    6.18e+00      1.39e-03    8.26e-03      2.79e-01    2.54e-01    5.6e-04
 113000      6.40e+00    6.12e+00      7.77e-03    5.85e-03      2.65e-01    2.55e-01    5.6e-04
 114000      5.62e+00    6.59e+00      5.63e-03    7.01e-03      2.33e-01    2.73e-01    5.6e-04
 115000      6.16e+00    6.63e+00      3.64e-03    1.04e-02      2.58e-01    2.71e-01    5.6e-04
 116000      6.07e+00    6.83e+00      1.43e-02    1.03e-02      2.39e-01    2.80e-01    5.6e-04
 117000      6.55e+00    6.80e+00      8.91e-03    9.59e-03      2.70e-01    2.79e-01    5.6e-04
 118000      7.76e+00    5.84e+00      2.78e-02    1.33e-02      2.76e-01    2.31e-01    5.6e-04
 119000      5.78e+00    7.43e+00      5.66e-03    2.77e-02      2.40e-01    2.60e-01    5.6e-04
 120000      5.85e+00    8.10e+00      4.34e-03    2.92e-02      2.58e-01    2.96e-01    5.0e-04
 121000      6.72e+00    6.07e+00      2.51e-02    1.18e-02      2.41e-01    2.57e-01    5.0e-04
 122000      5.77e+00    7.82e+00      1.28e-03    2.49e-02      2.56e-01    3.00e-01    5.0e-04
 123000      6.44e+00    6.45e+00      2.10e-03    1.71e-02      2.86e-01    2.60e-01    5.0e-04
